manifest_index,task_id,task_group,prompt_id,oracle_length,length_bucket,frozen_controller_test_row,frozen_controller_test_exclusion_flag,source_dataset,model
147,SingleLineInfilling/HumanEval/26/L1,HumanEval/26,L1,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
148,SingleLineInfilling/HumanEval/26/L2,HumanEval/26,L2,16,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
149,SingleLineInfilling/HumanEval/28/L0,HumanEval/28,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
150,SingleLineInfilling/HumanEval/29/L0,HumanEval/29,L0,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
151,SingleLineInfilling/HumanEval/30/L0,HumanEval/30,L0,14,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
152,SingleLineInfilling/HumanEval/32/L0,HumanEval/32,L0,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
153,SingleLineInfilling/HumanEval/32/L1,HumanEval/32,L1,17,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
154,SingleLineInfilling/HumanEval/32/L2,HumanEval/32,L2,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
155,SingleLineInfilling/HumanEval/32/L3,HumanEval/32,L3,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
156,SingleLineInfilling/HumanEval/32/L4,HumanEval/32,L4,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
157,SingleLineInfilling/HumanEval/32/L5,HumanEval/32,L5,14,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
158,SingleLineInfilling/HumanEval/32/L6,HumanEval/32,L6,17,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
159,SingleLineInfilling/HumanEval/32/L7,HumanEval/32,L7,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
160,SingleLineInfilling/HumanEval/32/L8,HumanEval/32,L8,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
161,SingleLineInfilling/HumanEval/32/L9,HumanEval/32,L9,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
162,SingleLineInfilling/HumanEval/32/L10,HumanEval/32,L10,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
163,SingleLineInfilling/HumanEval/33/L0,HumanEval/33,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
164,SingleLineInfilling/HumanEval/33/L1,HumanEval/33,L1,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
165,SingleLineInfilling/HumanEval/33/L2,HumanEval/33,L2,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
166,SingleLineInfilling/HumanEval/34/L0,HumanEval/34,L0,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
167,SingleLineInfilling/HumanEval/36/L0,HumanEval/36,L0,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
168,SingleLineInfilling/HumanEval/36/L1,HumanEval/36,L1,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
169,SingleLineInfilling/HumanEval/36/L2,HumanEval/36,L2,20,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
170,SingleLineInfilling/HumanEval/36/L3,HumanEval/36,L3,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
171,SingleLineInfilling/HumanEval/36/L4,HumanEval/36,L4,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
172,SingleLineInfilling/HumanEval/36/L5,HumanEval/36,L5,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
173,SingleLineInfilling/HumanEval/36/L6,HumanEval/36,L6,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
174,SingleLineInfilling/HumanEval/36/L7,HumanEval/36,L7,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
175,SingleLineInfilling/HumanEval/36/L8,HumanEval/36,L8,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
176,SingleLineInfilling/HumanEval/37/L0,HumanEval/37,L0,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
177,SingleLineInfilling/HumanEval/37/L1,HumanEval/37,L1,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
178,SingleLineInfilling/HumanEval/37/L2,HumanEval/37,L2,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
179,SingleLineInfilling/HumanEval/37/L3,HumanEval/37,L3,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
180,SingleLineInfilling/HumanEval/37/L4,HumanEval/37,L4,12,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
181,SingleLineInfilling/HumanEval/37/L5,HumanEval/37,L5,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
182,SingleLineInfilling/HumanEval/37/L6,HumanEval/37,L6,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
183,SingleLineInfilling/HumanEval/37/L7,HumanEval/37,L7,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
184,SingleLineInfilling/HumanEval/37/L8,HumanEval/37,L8,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
185,SingleLineInfilling/HumanEval/38/L0,HumanEval/38,L0,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
186,SingleLineInfilling/HumanEval/39/L0,HumanEval/39,L0,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
187,SingleLineInfilling/HumanEval/39/L2,HumanEval/39,L2,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
188,SingleLineInfilling/HumanEval/39/L3,HumanEval/39,L3,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
189,SingleLineInfilling/HumanEval/39/L4,HumanEval/39,L4,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
190,SingleLineInfilling/HumanEval/39/L5,HumanEval/39,L5,23,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
191,SingleLineInfilling/HumanEval/39/L6,HumanEval/39,L6,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
192,SingleLineInfilling/HumanEval/39/L7,HumanEval/39,L7,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
193,SingleLineInfilling/HumanEval/39/L8,HumanEval/39,L8,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
194,SingleLineInfilling/HumanEval/39/L9,HumanEval/39,L9,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
195,SingleLineInfilling/HumanEval/39/L10,HumanEval/39,L10,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
196,SingleLineInfilling/HumanEval/39/L11,HumanEval/39,L11,12,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
197,SingleLineInfilling/HumanEval/39/L12,HumanEval/39,L12,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
198,SingleLineInfilling/HumanEval/39/L13,HumanEval/39,L13,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
199,SingleLineInfilling/HumanEval/39/L14,HumanEval/39,L14,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
200,SingleLineInfilling/HumanEval/39/L15,HumanEval/39,L15,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
201,SingleLineInfilling/HumanEval/40/L0,HumanEval/40,L0,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
202,SingleLineInfilling/HumanEval/40/L1,HumanEval/40,L1,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
203,SingleLineInfilling/HumanEval/40/L2,HumanEval/40,L2,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
204,SingleLineInfilling/HumanEval/40/L3,HumanEval/40,L3,17,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
205,SingleLineInfilling/HumanEval/40/L4,HumanEval/40,L4,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
206,SingleLineInfilling/HumanEval/40/L5,HumanEval/40,L5,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
207,SingleLineInfilling/HumanEval/41/L0,HumanEval/41,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
208,SingleLineInfilling/HumanEval/42/L0,HumanEval/42,L0,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
209,SingleLineInfilling/HumanEval/43/L0,HumanEval/43,L0,10,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
210,SingleLineInfilling/HumanEval/43/L1,HumanEval/43,L1,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
211,SingleLineInfilling/HumanEval/43/L2,HumanEval/43,L2,12,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
212,SingleLineInfilling/HumanEval/43/L3,HumanEval/43,L3,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
213,SingleLineInfilling/HumanEval/43/L4,HumanEval/43,L4,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
214,SingleLineInfilling/HumanEval/44/L0,HumanEval/44,L0,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
215,SingleLineInfilling/HumanEval/44/L1,HumanEval/44,L1,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
216,SingleLineInfilling/HumanEval/44/L2,HumanEval/44,L2,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
217,SingleLineInfilling/HumanEval/44/L3,HumanEval/44,L3,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
218,SingleLineInfilling/HumanEval/44/L4,HumanEval/44,L4,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
219,SingleLineInfilling/HumanEval/45/L0,HumanEval/45,L0,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
220,SingleLineInfilling/HumanEval/46/L0,HumanEval/46,L0,15,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
221,SingleLineInfilling/HumanEval/46/L1,HumanEval/46,L1,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
222,SingleLineInfilling/HumanEval/46/L2,HumanEval/46,L2,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
223,SingleLineInfilling/HumanEval/46/L4,HumanEval/46,L4,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
224,SingleLineInfilling/HumanEval/46/L5,HumanEval/46,L5,22,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
225,SingleLineInfilling/HumanEval/46/L6,HumanEval/46,L6,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
226,SingleLineInfilling/HumanEval/46/L8,HumanEval/46,L8,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
227,SingleLineInfilling/HumanEval/47/L0,HumanEval/47,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
228,SingleLineInfilling/HumanEval/47/L1,HumanEval/47,L1,12,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
229,SingleLineInfilling/HumanEval/47/L2,HumanEval/47,L2,10,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
230,SingleLineInfilling/HumanEval/47/L3,HumanEval/47,L3,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
231,SingleLineInfilling/HumanEval/47/L4,HumanEval/47,L4,29,25+,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
232,SingleLineInfilling/HumanEval/48/L0,HumanEval/48,L0,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
233,SingleLineInfilling/HumanEval/48/L1,HumanEval/48,L1,16,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
234,SingleLineInfilling/HumanEval/48/L2,HumanEval/48,L2,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
235,SingleLineInfilling/HumanEval/48/L3,HumanEval/48,L3,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
236,SingleLineInfilling/HumanEval/49/L0,HumanEval/49,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
237,SingleLineInfilling/HumanEval/49/L1,HumanEval/49,L1,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
238,SingleLineInfilling/HumanEval/49/L2,HumanEval/49,L2,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
239,SingleLineInfilling/HumanEval/49/L3,HumanEval/49,L3,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
240,SingleLineInfilling/HumanEval/51/L0,HumanEval/51,L0,32,25+,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
241,SingleLineInfilling/HumanEval/52/L0,HumanEval/52,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
242,SingleLineInfilling/HumanEval/52/L1,HumanEval/52,L1,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
243,SingleLineInfilling/HumanEval/52/L2,HumanEval/52,L2,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
244,SingleLineInfilling/HumanEval/52/L3,HumanEval/52,L3,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
245,SingleLineInfilling/HumanEval/53/L0,HumanEval/53,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
246,SingleLineInfilling/HumanEval/54/L0,HumanEval/54,L0,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
247,SingleLineInfilling/HumanEval/55/L0,HumanEval/55,L0,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
248,SingleLineInfilling/HumanEval/55/L1,HumanEval/55,L1,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
249,SingleLineInfilling/HumanEval/55/L2,HumanEval/55,L2,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
250,SingleLineInfilling/HumanEval/55/L3,HumanEval/55,L3,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
251,SingleLineInfilling/HumanEval/55/L4,HumanEval/55,L4,15,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
252,SingleLineInfilling/HumanEval/56/L0,HumanEval/56,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
253,SingleLineInfilling/HumanEval/56/L1,HumanEval/56,L1,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
254,SingleLineInfilling/HumanEval/56/L2,HumanEval/56,L2,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
255,SingleLineInfilling/HumanEval/56/L3,HumanEval/56,L3,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
256,SingleLineInfilling/HumanEval/56/L4,HumanEval/56,L4,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
257,SingleLineInfilling/HumanEval/56/L5,HumanEval/56,L5,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
258,SingleLineInfilling/HumanEval/56/L6,HumanEval/56,L6,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
259,SingleLineInfilling/HumanEval/56/L7,HumanEval/56,L7,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
260,SingleLineInfilling/HumanEval/56/L8,HumanEval/56,L8,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
261,SingleLineInfilling/HumanEval/57/L0,HumanEval/57,L0,16,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
262,SingleLineInfilling/HumanEval/57/L1,HumanEval/57,L1,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
263,SingleLineInfilling/HumanEval/57/L2,HumanEval/57,L2,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
264,SingleLineInfilling/HumanEval/58/L0,HumanEval/58,L0,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
265,SingleLineInfilling/HumanEval/58/L1,HumanEval/58,L1,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
266,SingleLineInfilling/HumanEval/58/L2,HumanEval/58,L2,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
267,SingleLineInfilling/HumanEval/58/L3,HumanEval/58,L3,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
268,SingleLineInfilling/HumanEval/58/L4,HumanEval/58,L4,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
269,SingleLineInfilling/HumanEval/58/L5,HumanEval/58,L5,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
270,SingleLineInfilling/HumanEval/59/L0,HumanEval/59,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
271,SingleLineInfilling/HumanEval/59/L1,HumanEval/59,L1,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
272,SingleLineInfilling/HumanEval/59/L2,HumanEval/59,L2,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
273,SingleLineInfilling/HumanEval/59/L3,HumanEval/59,L3,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
274,SingleLineInfilling/HumanEval/59/L4,HumanEval/59,L4,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
275,SingleLineInfilling/HumanEval/59/L5,HumanEval/59,L5,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
276,SingleLineInfilling/HumanEval/59/L6,HumanEval/59,L6,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
277,SingleLineInfilling/HumanEval/59/L7,HumanEval/59,L7,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
278,SingleLineInfilling/HumanEval/59/L8,HumanEval/59,L8,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
279,SingleLineInfilling/HumanEval/59/L9,HumanEval/59,L9,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
280,SingleLineInfilling/HumanEval/59/L10,HumanEval/59,L10,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
281,SingleLineInfilling/HumanEval/59/L11,HumanEval/59,L11,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
282,SingleLineInfilling/HumanEval/60/L0,HumanEval/60,L0,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
283,SingleLineInfilling/HumanEval/61/L0,HumanEval/61,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
284,SingleLineInfilling/HumanEval/61/L1,HumanEval/61,L1,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
285,SingleLineInfilling/HumanEval/61/L2,HumanEval/61,L2,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
286,SingleLineInfilling/HumanEval/61/L3,HumanEval/61,L3,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
287,SingleLineInfilling/HumanEval/61/L4,HumanEval/61,L4,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
288,SingleLineInfilling/HumanEval/61/L5,HumanEval/61,L5,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
289,SingleLineInfilling/HumanEval/61/L6,HumanEval/61,L6,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
290,SingleLineInfilling/HumanEval/61/L7,HumanEval/61,L7,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
291,SingleLineInfilling/HumanEval/61/L8,HumanEval/61,L8,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
292,SingleLineInfilling/HumanEval/62/L0,HumanEval/62,L0,17,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
293,SingleLineInfilling/HumanEval/63/L0,HumanEval/63,L0,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
294,SingleLineInfilling/HumanEval/63/L1,HumanEval/63,L1,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
