manifest_index,source_config,task_id,prompt_id,row_id,task_group,prefix_len_chars,middle_len_chars,suffix_len_chars,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,length_bucket,selected_canvas_metadata_available,control_fixed_canvas_tokens,deployable_policy,deployable_probe_lengths,oracle_canvas_tokens,frozen_controller_test_row,frozen_controller_test_exclusion_flag,row_key,official_full_allowed_note
1095,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/47/L1_L2,L1_L2,1132,HumanEval/47,186,54,69,89,24,33,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",24,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1132:MultiLineInfilling/HumanEval/47/L1_L2,all_official_rows_except_frozen_controller_test_groups
1096,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/47/L1_L3,L1_L3,1133,HumanEval/47,186,64,59,89,28,29,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",28,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1133:MultiLineInfilling/HumanEval/47/L1_L3,all_official_rows_except_frozen_controller_test_groups
1097,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/47/L1_L4,L1_L4,1134,HumanEval/47,186,123,0,89,57,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",57,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1134:MultiLineInfilling/HumanEval/47/L1_L4,all_official_rows_except_frozen_controller_test_groups
1098,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/47/L2_L2,L2_L2,1135,HumanEval/47,210,30,69,102,11,33,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",11,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1135:MultiLineInfilling/HumanEval/47/L2_L2,all_official_rows_except_frozen_controller_test_groups
1099,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/47/L2_L3,L2_L3,1136,HumanEval/47,210,40,59,102,15,29,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",15,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1136:MultiLineInfilling/HumanEval/47/L2_L3,all_official_rows_except_frozen_controller_test_groups
1100,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/47/L2_L4,L2_L4,1137,HumanEval/47,210,99,0,102,44,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",44,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1137:MultiLineInfilling/HumanEval/47/L2_L4,all_official_rows_except_frozen_controller_test_groups
1101,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/47/L3_L3,L3_L3,1138,HumanEval/47,240,10,59,113,4,29,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1138:MultiLineInfilling/HumanEval/47/L3_L3,all_official_rows_except_frozen_controller_test_groups
1102,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/47/L3_L4,L3_L4,1139,HumanEval/47,240,69,0,113,33,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",33,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1139:MultiLineInfilling/HumanEval/47/L3_L4,all_official_rows_except_frozen_controller_test_groups
1103,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/47/L4_L4,L4_L4,1140,HumanEval/47,250,59,0,117,29,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",29,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1140:MultiLineInfilling/HumanEval/47/L4_L4,all_official_rows_except_frozen_controller_test_groups
1104,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L0_L0,L0_L0,1141,HumanEval/48,245,31,88,88,9,25,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1141:MultiLineInfilling/HumanEval/48/L0_L0,all_official_rows_except_frozen_controller_test_groups
1105,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L0_L1,L0_L1,1142,HumanEval/48,245,78,41,88,26,8,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",26,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1142:MultiLineInfilling/HumanEval/48/L0_L1,all_official_rows_except_frozen_controller_test_groups
1106,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L0_L2,L0_L2,1143,HumanEval/48,245,103,16,88,30,4,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",30,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1143:MultiLineInfilling/HumanEval/48/L0_L2,all_official_rows_except_frozen_controller_test_groups
1107,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L0_L3,L0_L3,1144,HumanEval/48,245,119,0,88,34,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",34,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1144:MultiLineInfilling/HumanEval/48/L0_L3,all_official_rows_except_frozen_controller_test_groups
1108,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L1_L1,L1_L1,1145,HumanEval/48,275,47,41,96,17,8,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1145:MultiLineInfilling/HumanEval/48/L1_L1,all_official_rows_except_frozen_controller_test_groups
1109,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L1_L2,L1_L2,1146,HumanEval/48,275,72,16,96,21,4,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",21,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1146:MultiLineInfilling/HumanEval/48/L1_L2,all_official_rows_except_frozen_controller_test_groups
1110,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L1_L3,L1_L3,1147,HumanEval/48,275,88,0,96,25,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",25,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1147:MultiLineInfilling/HumanEval/48/L1_L3,all_official_rows_except_frozen_controller_test_groups
1111,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L2_L2,L2_L2,1148,HumanEval/48,322,25,16,113,4,4,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1148:MultiLineInfilling/HumanEval/48/L2_L2,all_official_rows_except_frozen_controller_test_groups
1112,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L2_L3,L2_L3,1149,HumanEval/48,322,41,0,113,8,0,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",8,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1149:MultiLineInfilling/HumanEval/48/L2_L3,all_official_rows_except_frozen_controller_test_groups
1113,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L3_L3,L3_L3,1150,HumanEval/48,347,16,0,117,4,0,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1150:MultiLineInfilling/HumanEval/48/L3_L3,all_official_rows_except_frozen_controller_test_groups
1114,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/49/L0_L0,L0_L0,1151,HumanEval/49,225,12,66,121,6,23,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",6,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1151:MultiLineInfilling/HumanEval/49/L0_L0,all_official_rows_except_frozen_controller_test_groups
1115,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/49/L0_L1,L0_L1,1152,HumanEval/49,225,35,43,121,14,15,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",14,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1152:MultiLineInfilling/HumanEval/49/L0_L1,all_official_rows_except_frozen_controller_test_groups
1116,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/49/L0_L2,L0_L2,1153,HumanEval/49,225,63,15,121,25,4,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",25,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1153:MultiLineInfilling/HumanEval/49/L0_L2,all_official_rows_except_frozen_controller_test_groups
1117,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/49/L0_L3,L0_L3,1154,HumanEval/49,225,78,0,121,29,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",29,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1154:MultiLineInfilling/HumanEval/49/L0_L3,all_official_rows_except_frozen_controller_test_groups
1118,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/49/L1_L1,L1_L1,1155,HumanEval/49,236,23,43,126,8,15,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",8,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1155:MultiLineInfilling/HumanEval/49/L1_L1,all_official_rows_except_frozen_controller_test_groups
1119,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/49/L1_L2,L1_L2,1156,HumanEval/49,236,51,15,126,19,4,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",19,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1156:MultiLineInfilling/HumanEval/49/L1_L2,all_official_rows_except_frozen_controller_test_groups
1120,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/49/L1_L3,L1_L3,1157,HumanEval/49,236,66,0,126,23,0,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",23,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1157:MultiLineInfilling/HumanEval/49/L1_L3,all_official_rows_except_frozen_controller_test_groups
1121,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/49/L2_L2,L2_L2,1158,HumanEval/49,259,28,15,134,11,4,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",11,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1158:MultiLineInfilling/HumanEval/49/L2_L2,all_official_rows_except_frozen_controller_test_groups
1122,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/49/L2_L3,L2_L3,1159,HumanEval/49,259,43,0,134,15,0,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",15,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1159:MultiLineInfilling/HumanEval/49/L2_L3,all_official_rows_except_frozen_controller_test_groups
1123,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/49/L3_L3,L3_L3,1160,HumanEval/49,287,15,0,145,4,0,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1160:MultiLineInfilling/HumanEval/49/L3_L3,all_official_rows_except_frozen_controller_test_groups
1124,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/51/L0_L0,L0_L0,1162,HumanEval/51,383,84,0,137,34,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",34,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1162:MultiLineInfilling/HumanEval/51/L0_L0,all_official_rows_except_frozen_controller_test_groups
1125,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/52/L0_L0,L0_L0,1163,HumanEval/52,226,16,60,86,7,15,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",7,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1163:MultiLineInfilling/HumanEval/52/L0_L0,all_official_rows_except_frozen_controller_test_groups
1126,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/52/L0_L1,L0_L1,1164,HumanEval/52,226,35,41,86,14,8,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",14,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1164:MultiLineInfilling/HumanEval/52/L0_L1,all_official_rows_except_frozen_controller_test_groups
1127,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/52/L0_L2,L0_L2,1165,HumanEval/52,226,60,16,86,18,4,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",18,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1165:MultiLineInfilling/HumanEval/52/L0_L2,all_official_rows_except_frozen_controller_test_groups
1128,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/52/L0_L3,L0_L3,1166,HumanEval/52,226,76,0,86,22,0,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",22,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1166:MultiLineInfilling/HumanEval/52/L0_L3,all_official_rows_except_frozen_controller_test_groups
1129,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/52/L1_L1,L1_L1,1167,HumanEval/52,241,19,41,92,7,8,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",7,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1167:MultiLineInfilling/HumanEval/52/L1_L1,all_official_rows_except_frozen_controller_test_groups
1130,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/52/L1_L2,L1_L2,1168,HumanEval/52,241,44,16,92,11,4,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",11,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1168:MultiLineInfilling/HumanEval/52/L1_L2,all_official_rows_except_frozen_controller_test_groups
1131,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/52/L1_L3,L1_L3,1169,HumanEval/52,241,60,0,92,15,0,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",15,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1169:MultiLineInfilling/HumanEval/52/L1_L3,all_official_rows_except_frozen_controller_test_groups
1132,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/52/L2_L2,L2_L2,1170,HumanEval/52,260,25,16,99,4,4,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1170:MultiLineInfilling/HumanEval/52/L2_L2,all_official_rows_except_frozen_controller_test_groups
1133,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/52/L2_L3,L2_L3,1171,HumanEval/52,260,41,0,99,8,0,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",8,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1171:MultiLineInfilling/HumanEval/52/L2_L3,all_official_rows_except_frozen_controller_test_groups
1134,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/52/L3_L3,L3_L3,1172,HumanEval/52,285,16,0,103,4,0,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1172:MultiLineInfilling/HumanEval/52/L3_L3,all_official_rows_except_frozen_controller_test_groups
1135,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/53/L0_L0,L0_L0,1173,HumanEval/53,116,17,0,55,6,0,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",6,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1173:MultiLineInfilling/HumanEval/53/L0_L0,all_official_rows_except_frozen_controller_test_groups
1136,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/54/L0_L0,L0_L0,1174,HumanEval/54,432,30,0,141,12,0,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",12,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1174:MultiLineInfilling/HumanEval/54/L0_L0,all_official_rows_except_frozen_controller_test_groups
1137,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L0_L0,L0_L0,1175,HumanEval/55,131,15,84,58,8,34,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",8,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1175:MultiLineInfilling/HumanEval/55/L0_L0,all_official_rows_except_frozen_controller_test_groups
1138,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L0_L1,L0_L1,1176,HumanEval/55,131,32,67,58,13,29,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",13,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1176:MultiLineInfilling/HumanEval/55/L0_L1,all_official_rows_except_frozen_controller_test_groups
1139,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L0_L2,L0_L2,1177,HumanEval/55,131,47,52,58,21,21,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",21,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1177:MultiLineInfilling/HumanEval/55/L0_L2,all_official_rows_except_frozen_controller_test_groups
1140,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L0_L3,L0_L3,1178,HumanEval/55,131,64,35,58,26,16,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",26,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1178:MultiLineInfilling/HumanEval/55/L0_L3,all_official_rows_except_frozen_controller_test_groups
1141,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L0_L4,L0_L4,1179,HumanEval/55,131,99,0,58,42,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",42,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1179:MultiLineInfilling/HumanEval/55/L0_L4,all_official_rows_except_frozen_controller_test_groups
1142,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L1_L1,L1_L1,1180,HumanEval/55,145,17,67,65,5,29,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",5,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1180:MultiLineInfilling/HumanEval/55/L1_L1,all_official_rows_except_frozen_controller_test_groups
1143,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L1_L2,L1_L2,1181,HumanEval/55,145,32,52,65,13,21,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",13,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1181:MultiLineInfilling/HumanEval/55/L1_L2,all_official_rows_except_frozen_controller_test_groups
1144,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L1_L3,L1_L3,1182,HumanEval/55,145,49,35,65,18,16,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",18,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1182:MultiLineInfilling/HumanEval/55/L1_L3,all_official_rows_except_frozen_controller_test_groups
1145,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L1_L4,L1_L4,1183,HumanEval/55,145,84,0,65,34,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",34,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1183:MultiLineInfilling/HumanEval/55/L1_L4,all_official_rows_except_frozen_controller_test_groups
1146,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L2_L2,L2_L2,1184,HumanEval/55,162,15,52,70,8,21,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",8,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1184:MultiLineInfilling/HumanEval/55/L2_L2,all_official_rows_except_frozen_controller_test_groups
1147,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L2_L3,L2_L3,1185,HumanEval/55,162,32,35,70,13,16,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",13,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1185:MultiLineInfilling/HumanEval/55/L2_L3,all_official_rows_except_frozen_controller_test_groups
1148,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L2_L4,L2_L4,1186,HumanEval/55,162,67,0,70,29,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",29,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1186:MultiLineInfilling/HumanEval/55/L2_L4,all_official_rows_except_frozen_controller_test_groups
1149,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L3_L3,L3_L3,1187,HumanEval/55,177,17,35,78,5,16,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",5,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1187:MultiLineInfilling/HumanEval/55/L3_L3,all_official_rows_except_frozen_controller_test_groups
1150,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L3_L4,L3_L4,1188,HumanEval/55,177,52,0,78,21,0,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",21,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1188:MultiLineInfilling/HumanEval/55/L3_L4,all_official_rows_except_frozen_controller_test_groups
1151,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/55/L4_L4,L4_L4,1189,HumanEval/55,194,35,0,83,16,0,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",16,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1189:MultiLineInfilling/HumanEval/55/L4_L4,all_official_rows_except_frozen_controller_test_groups
1152,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L0_L0,L0_L0,1190,HumanEval/56,349,14,173,100,6,49,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",6,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1190:MultiLineInfilling/HumanEval/56/L0_L0,all_official_rows_except_frozen_controller_test_groups
1153,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L0_L1,L0_L1,1191,HumanEval/56,349,37,150,100,13,42,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",13,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1191:MultiLineInfilling/HumanEval/56/L0_L1,all_official_rows_except_frozen_controller_test_groups
1154,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L0_L2,L0_L2,1192,HumanEval/56,349,58,129,100,20,35,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",20,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1192:MultiLineInfilling/HumanEval/56/L0_L2,all_official_rows_except_frozen_controller_test_groups
1155,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L0_L3,L0_L3,1193,HumanEval/56,349,81,106,100,26,29,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",26,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1193:MultiLineInfilling/HumanEval/56/L0_L3,all_official_rows_except_frozen_controller_test_groups
1156,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L0_L4,L0_L4,1194,HumanEval/56,349,95,92,100,30,25,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",30,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1194:MultiLineInfilling/HumanEval/56/L0_L4,all_official_rows_except_frozen_controller_test_groups
1157,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L0_L5,L0_L5,1195,HumanEval/56,349,118,69,100,36,19,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",36,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1195:MultiLineInfilling/HumanEval/56/L0_L5,all_official_rows_except_frozen_controller_test_groups
1158,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L0_L6,L0_L6,1196,HumanEval/56,349,140,47,100,44,11,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",44,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1196:MultiLineInfilling/HumanEval/56/L0_L6,all_official_rows_except_frozen_controller_test_groups
1159,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L0_L7,L0_L7,1197,HumanEval/56,349,165,22,100,48,7,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",48,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1197:MultiLineInfilling/HumanEval/56/L0_L7,all_official_rows_except_frozen_controller_test_groups
1160,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L0_L8,L0_L8,1198,HumanEval/56,349,187,0,100,55,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",55,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1198:MultiLineInfilling/HumanEval/56/L0_L8,all_official_rows_except_frozen_controller_test_groups
