manifest_index,source_config,task_id,prompt_id,row_id,task_group,prefix_len_chars,middle_len_chars,suffix_len_chars,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,length_bucket,selected_canvas_metadata_available,control_fixed_canvas_tokens,deployable_policy,deployable_probe_lengths,oracle_canvas_tokens,frozen_controller_test_row,frozen_controller_test_exclusion_flag,evaluator_smoke_selected,evaluator_smoke_status,evaluator_smoke_tier1,evaluator_smoke_tier2,evaluator_smoke_tier3,evaluator_smoke_error,row_key
70,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/95/6,6,955,HumanEval/95,669,620,70,187,141,18,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",141,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-RandomSpanInfilling:955:RandomSpanInfilling/HumanEval/95/6
71,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/124/6,6,1245,HumanEval/124,961,369,12,329,131,3,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",131,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:1245:RandomSpanInfilling/HumanEval/124/6
72,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/129/6,6,1295,HumanEval/129,1545,398,50,471,120,13,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",120,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:1295:RandomSpanInfilling/HumanEval/129/6
73,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/39/2,2,391,HumanEval/39,267,352,14,106,117,6,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",117,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:391:RandomSpanInfilling/HumanEval/39/2
74,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/94/2,2,941,HumanEval/94,609,332,5,331,114,3,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",114,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:941:RandomSpanInfilling/HumanEval/94/2
75,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/156/1,1,1560,HumanEval/156,398,275,41,171,114,15,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",114,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:1560:RandomSpanInfilling/HumanEval/156/1
76,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/99/2,2,991,HumanEval/99,620,367,27,171,113,12,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",113,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:991:RandomSpanInfilling/HumanEval/99/2
77,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/141/10,10,1419,HumanEval/141,853,270,33,240,110,12,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",110,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:1419:RandomSpanInfilling/HumanEval/141/10
78,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/105/4,4,1053,HumanEval/105,860,321,6,317,108,3,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",108,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:1053:RandomSpanInfilling/HumanEval/105/4
79,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/20/1,1,200,HumanEval/20,503,519,4,186,107,2,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",107,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:200:RandomSpanInfilling/HumanEval/20/1
80,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/23/1,1,23,HumanEval/23,145,4,8,48,2,3,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",2,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-RandomSpanInfillingLight:23:RandomSpanInfillingLight/HumanEval/23/1
81,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/28/1,1,28,HumanEval/28,225,3,14,66,2,5,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",2,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:28:RandomSpanInfillingLight/HumanEval/28/1
82,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/51/1,1,51,HumanEval/51,423,8,36,150,2,19,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",2,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:51:RandomSpanInfillingLight/HumanEval/51/1
83,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/53/1,1,53,HumanEval/53,128,4,1,58,2,1,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",2,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:53:RandomSpanInfillingLight/HumanEval/53/1
84,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/34/1,1,34,HumanEval/34,161,12,9,81,3,4,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:34:RandomSpanInfillingLight/HumanEval/34/1
85,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/41/1,1,41,HumanEval/41,659,4,1,161,3,1,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:41:RandomSpanInfillingLight/HumanEval/41/1
86,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/58/1,1,58,HumanEval/58,355,12,6,171,3,3,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:58:RandomSpanInfillingLight/HumanEval/58/1
87,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/62/1,1,62,HumanEval/62,333,4,1,132,3,1,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:62:RandomSpanInfillingLight/HumanEval/62/1
88,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/99/1,1,99,HumanEval/99,660,11,344,182,3,110,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:99:RandomSpanInfillingLight/HumanEval/99/1
89,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/7/1,1,7,HumanEval/7,361,18,2,107,4,2,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:7:RandomSpanInfillingLight/HumanEval/7/1
90,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/19/1,1,19,HumanEval/19,660,28,3,218,9,2,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-RandomSpanInfillingLight:19:RandomSpanInfillingLight/HumanEval/19/1
91,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/30/1,1,30,HumanEval/30,244,20,2,129,9,2,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:30:RandomSpanInfillingLight/HumanEval/30/1
92,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/52/1,1,52,HumanEval/52,251,34,17,95,9,5,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:52:RandomSpanInfillingLight/HumanEval/52/1
93,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/57/1,1,57,HumanEval/57,265,32,39,96,9,10,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:57:RandomSpanInfillingLight/HumanEval/57/1
94,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/90/1,1,90,HumanEval/90,362,27,44,128,9,17,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:90:RandomSpanInfillingLight/HumanEval/90/1
95,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/97/1,1,97,HumanEval/97,359,14,12,123,9,8,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:97:RandomSpanInfillingLight/HumanEval/97/1
96,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/133/1,1,133,HumanEval/133,468,31,73,168,9,21,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:133:RandomSpanInfillingLight/HumanEval/133/1
97,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/152/1,1,152,HumanEval/152,820,22,2,249,9,2,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:152:RandomSpanInfillingLight/HumanEval/152/1
98,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/10/1,1,10,HumanEval/10,761,34,1,224,10,1,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",10,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:10:RandomSpanInfillingLight/HumanEval/10/1
99,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/22/1,1,22,HumanEval/22,283,38,2,100,10,2,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",10,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:22:RandomSpanInfillingLight/HumanEval/22/1
100,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/5/1,1,5,HumanEval/5,364,64,52,122,17,16,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-RandomSpanInfillingLight:5:RandomSpanInfillingLight/HumanEval/5/1
101,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/13/1,1,13,HumanEval/13,217,38,14,72,17,5,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:13:RandomSpanInfillingLight/HumanEval/13/1
102,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/36/1,1,36,HumanEval/36,274,27,132,106,17,48,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:36:RandomSpanInfillingLight/HumanEval/36/1
103,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/65/1,1,65,HumanEval/65,380,42,1,121,17,1,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:65:RandomSpanInfillingLight/HumanEval/65/1
104,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/87/1,1,87,HumanEval/87,800,46,90,291,17,29,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:87:RandomSpanInfillingLight/HumanEval/87/1
105,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/151/1,1,151,HumanEval/151,473,38,3,162,17,2,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:151:RandomSpanInfillingLight/HumanEval/151/1
106,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/0/1,1,0,HumanEval/0,436,73,93,151,18,18,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",18,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:0:RandomSpanInfillingLight/HumanEval/0/1
107,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/14/1,1,14,HumanEval/14,227,69,19,65,19,5,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",19,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:14:RandomSpanInfillingLight/HumanEval/14/1
108,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/24/1,1,24,HumanEval/24,187,62,1,58,19,1,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",19,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:24:RandomSpanInfillingLight/HumanEval/24/1
109,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/46/1,1,46,HumanEval/46,575,53,49,226,19,17,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",19,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:46:RandomSpanInfillingLight/HumanEval/46/1
110,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/129/1,1,129,HumanEval/129,1449,401,144,446,111,47,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",111,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-RandomSpanInfillingLight:129:RandomSpanInfillingLight/HumanEval/129/1
111,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/148/1,1,148,HumanEval/148,776,301,178,220,88,52,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",88,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:148:RandomSpanInfillingLight/HumanEval/148/1
112,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/124/1,1,124,HumanEval/124,999,221,123,342,85,37,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",85,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:124:RandomSpanInfillingLight/HumanEval/124/1
113,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/20/1,1,20,HumanEval/20,584,417,26,208,80,7,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",80,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:20:RandomSpanInfillingLight/HumanEval/20/1
114,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/105/1,1,105,HumanEval/105,810,188,190,296,79,52,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",79,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:105:RandomSpanInfillingLight/HumanEval/105/1
115,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/141/1,1,141,HumanEval/141,873,184,100,248,72,41,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",72,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:141:RandomSpanInfillingLight/HumanEval/141/1
116,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/6/1,1,6,HumanEval/6,437,263,73,121,70,22,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",70,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:6:RandomSpanInfillingLight/HumanEval/6/1
117,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/132/1,1,132,HumanEval/132,535,256,157,163,70,47,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",70,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:132:RandomSpanInfillingLight/HumanEval/132/1
118,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/119/1,1,119,HumanEval/119,642,253,105,178,69,50,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",69,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:119:RandomSpanInfillingLight/HumanEval/119/1
119,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/108/1,1,108,HumanEval/108,397,162,77,135,65,27,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",65,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfillingLight:108:RandomSpanInfillingLight/HumanEval/108/1
